sample_id,actual_decision,expected_decision,actual_confidence_score,expected_confidence_score,decision_is_consistent,confidence_is_consistent,blocking_criterion_ids
HNMU-G7-R0027-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0028-STT13,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0029-STT14,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0058-STT1,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0059-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0060-STT3,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0061-STT4,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0062-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0063-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0064-STT7,need_human_review,need_human_review,0.55,0.55,true,true,RAW-CON-05
HNMU-G7-R0065-STT8,need_human_review,need_human_review,0.52,0.52,true,true,RAW-CON-03;RAW-CON-04
HNMU-G7-R0066-STT9,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0067-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0068-STT11,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G7-R0069-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0070-STT13,need_human_review,need_human_review,0.57,0.57,true,true,RAW-CON-05
HNMU-G7-R0071-STT14,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0100-STT1,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G7-R0101-STT2,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0102-STT3,need_human_review,need_human_review,0.54,0.54,true,true,RAW-PED-02;RAW-DUP-04
HNMU-G7-R0103-STT4,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G7-R0104-STT5,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0105-STT6,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0106-STT7,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0107-STT8,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0108-STT9,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G7-R0109-STT10,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0110-STT11,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0111-STT12,pass,pass,0.64,0.64,true,true,
HNMU-G7-R0112-STT13,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G7-R0113-STT14,need_human_review,need_human_review,0.60,0.60,true,true,RAW-DUP-04
HNMU-G6-R0142-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0143-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0144-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0145-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0146-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0147-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0148-STT7,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0149-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0150-STT9,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0151-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0152-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0153-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0154-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0155-STT14,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0184-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0185-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0186-STT3,pass,pass,0.67,0.67,true,true,
HNMU-G6-R0187-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0188-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0189-STT6,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0190-STT7,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0191-STT8,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0192-STT9,pass,pass,0.67,0.67,true,true,
HNMU-G6-R0193-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0194-STT11,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0195-STT12,pass,pass,0.67,0.67,true,true,
HNMU-G6-R0196-STT13,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0197-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0226-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0227-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0228-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0229-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0230-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0231-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0232-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0233-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0234-STT9,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G6-R0235-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0236-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0237-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0238-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0239-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0044-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0045-STT2,failed,failed,0.66,0.66,true,true,RAW-STR-02;RAW-STR-03;RAW-STR-04;RAW-CON-03;RAW-CON-04;RAW-CON-07;RAW-PED-06
HNMU-G6-R0046-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0047-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0048-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0049-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0050-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0051-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0052-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0053-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0054-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0055-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0056-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0057-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0086-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0087-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0088-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0089-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0090-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0091-STT6,pass,pass,0.67,0.67,true,true,
HNMU-G6-R0092-STT7,need_human_review,need_human_review,0.42,0.42,true,true,RAW-CON-06
HNMU-G6-R0093-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0094-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0095-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0096-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0097-STT12,pass,pass,0.67,0.67,true,true,
HNMU-G6-R0098-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G6-R0099-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0002-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0003-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0004-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0005-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0006-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0007-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0008-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0009-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0010-STT9,failed,failed,0.88,0.88,true,true,RAW-STR-03
HNMU-G7-R0011-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0012-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0013-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0014-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0015-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0156-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0157-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0158-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0159-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0160-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0161-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0162-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0163-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0164-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0165-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0166-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0167-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0168-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0169-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0198-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0199-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0200-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0201-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0202-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0203-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0204-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0205-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0206-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0207-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0208-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0209-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0210-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0211-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0030-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0031-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0032-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0033-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0034-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0035-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0036-STT7,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0037-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0038-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0039-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0040-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0041-STT12,pass,pass,0.67,0.67,true,true,
HNMU-G7-R0042-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0043-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0072-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0073-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0074-STT3,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0075-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0076-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0077-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0078-STT7,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G7-R0079-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0080-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0081-STT10,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0082-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0083-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0084-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0085-STT14,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0114-STT1,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0115-STT2,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0116-STT3,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G7-R0117-STT4,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0118-STT5,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0119-STT6,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0120-STT7,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G7-R0121-STT8,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0122-STT9,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0123-STT10,need_human_review,need_human_review,0.50,0.50,true,true,RAW-CON-02
HNMU-G7-R0124-STT11,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0125-STT12,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0126-STT13,pass,pass,0.68,0.68,true,true,
HNMU-G7-R0127-STT14,pass,pass,0.68,0.68,true,true,
