coverage_id,topic_id,topic_label,topic_lesson_scope,task_id,task_name,cognitive_level,primary_format_family,secondary_format_family,primary_student_work_type,secondary_student_work_type,student_work_type_note,coverage_priority,p06_example_priority,why_cover,authoring_hint,risk_or_review_note
P05-COV-033,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,core,cao,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Vận dụng trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 4; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-034,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Biết,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,optional,thấp,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Biết trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 4; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-035,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Hiểu trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 4; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-036,TIN9-CD03,"Đạo đức, pháp luật và văn hoá trong môi trường số",Bài 4,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Vận dụng,F03,F01,SWT09,SWT03,Ưu tiên tình huống hoặc lập luận về đạo đức/pháp luật/văn hoá số để kiểm tra tutor có bám phạm vi và ranh giới an toàn hay không.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Vận dụng trong cụm chủ đề “Đạo đức, pháp luật và văn hoá trong môi trường số”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 4; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-037,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T1,Giải thích thích ứng,Biết,F05,F01,SWT08,SWT01,"Ưu tiên câu hỏi về phần mềm mô phỏng, công cụ trực quan hoặc trình bày thông tin.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Biết trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 5–8; tutor cần giải thích vừa sức ở mức Biết.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-038,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T1,Giải thích thích ứng,Hiểu,F05,F01,SWT08,SWT01,"Ưu tiên câu hỏi về phần mềm mô phỏng, công cụ trực quan hoặc trình bày thông tin.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Hiểu trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 5–8; tutor cần giải thích vừa sức ở mức Hiểu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-039,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T1,Giải thích thích ứng,Vận dụng,F05,F01,SWT08,SWT01,"Ưu tiên câu hỏi về phần mềm mô phỏng, công cụ trực quan hoặc trình bày thông tin.",recommended,trung bình,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Vận dụng trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 5–8; tutor cần giải thích vừa sức ở mức Vận dụng.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-040,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",recommended,trung bình,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Biết trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 5–8; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-041,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Hiểu trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 5–8; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-042,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Vận dụng trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 5–8; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-043,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T3,Gợi ý từng bước để học sinh tự đi tiếp,Biết,F05,F03,SWT08,SWT03,Ưu tiên học sinh bị kẹt trong thao tác công cụ hoặc trình bày thông tin.,optional,thấp,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Biết trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 5–8; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-044,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T3,Gợi ý từng bước để học sinh tự đi tiếp,Hiểu,F05,F03,SWT08,SWT03,Ưu tiên học sinh bị kẹt trong thao tác công cụ hoặc trình bày thông tin.,recommended,trung bình,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Hiểu trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 5–8; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-045,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,F05,F03,SWT08,SWT03,Ưu tiên học sinh bị kẹt trong thao tác công cụ hoặc trình bày thông tin.,core,cao,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Vận dụng trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 5–8; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-046,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Biết,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",optional,thấp,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Biết trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 5–8; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-047,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Hiểu trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 5–8; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-048,TIN9-CD04,Ứng dụng tin học — phần chung,Bài 5–8,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Vận dụng,F04,F05,SWT08,SWT04,"Ưu tiên thao tác/sản phẩm số trong mô phỏng, trình bày thông tin hoặc hợp tác cần phản hồi/chẩn đoán.",core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Vận dụng trong cụm chủ đề “Ứng dụng tin học — phần chung”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 5–8; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-049,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T1,Giải thích thích ứng,Biết,F05,F01,SWT07,SWT01,"Ưu tiên câu hỏi về ý nghĩa công thức, hàm hoặc thao tác bảng tính.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Biết trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9a–13a; tutor cần giải thích vừa sức ở mức Biết.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-050,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T1,Giải thích thích ứng,Hiểu,F05,F01,SWT07,SWT01,"Ưu tiên câu hỏi về ý nghĩa công thức, hàm hoặc thao tác bảng tính.",core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Hiểu trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9a–13a; tutor cần giải thích vừa sức ở mức Hiểu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-051,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T1,Giải thích thích ứng,Vận dụng,F05,F01,SWT07,SWT01,"Ưu tiên câu hỏi về ý nghĩa công thức, hàm hoặc thao tác bảng tính.",recommended,trung bình,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Vận dụng trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9a–13a; tutor cần giải thích vừa sức ở mức Vận dụng.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-052,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,recommended,trung bình,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Biết trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 9a–13a; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-053,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Hiểu trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 9a–13a; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-054,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T2,Phản hồi bài làm hoặc lập luận của học sinh,Vận dụng,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Vận dụng trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 9a–13a; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-055,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T3,Gợi ý từng bước để học sinh tự đi tiếp,Biết,F05,F03,SWT07,SWT04,"Ưu tiên học sinh đang kẹt ở công thức, hàm hoặc thao tác bảng tính; tutor hỗ trợ từng bước.",optional,thấp,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Biết trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 9a–13a; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-056,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T3,Gợi ý từng bước để học sinh tự đi tiếp,Hiểu,F05,F03,SWT07,SWT04,"Ưu tiên học sinh đang kẹt ở công thức, hàm hoặc thao tác bảng tính; tutor hỗ trợ từng bước.",recommended,trung bình,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Hiểu trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 9a–13a; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-057,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T3,Gợi ý từng bước để học sinh tự đi tiếp,Vận dụng,F05,F03,SWT07,SWT04,"Ưu tiên học sinh đang kẹt ở công thức, hàm hoặc thao tác bảng tính; tutor hỗ trợ từng bước.",core,cao,"Ô này kiểm tra khả năng “Gợi ý từng bước để học sinh tự đi tiếp” ở mức Vận dụng trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh bị kẹt ở một bước thuộc Bài 9a–13a; cột note nên ghi mức hỗ trợ tiếng Việt như Gợi mở/Gợi ý/Hướng dẫn/Làm mẫu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-058,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Biết,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,optional,thấp,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Biết trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 9a–13a; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-059,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Hiểu,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Hiểu trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 9a–13a; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-060,TIN9-CD04A,Sử dụng bảng tính điện tử nâng cao,Bài 9a–13a,T4,"Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng",Vận dụng,F04,F05,SWT07,SWT04,Ưu tiên bài làm bảng tính/công thức/hàm có điểm đúng-sai-thiếu để tutor phản hồi hoặc chẩn đoán.,core,cao,"Ô này kiểm tra khả năng “Chẩn đoán lỗi, hiểu lầm hoặc thiếu nền tảng” ở mức Vận dụng trong cụm chủ đề “Sử dụng bảng tính điện tử nâng cao”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.","Cho học sinh thể hiện lỗi, hiểu lầm hoặc thiếu nền tảng thuộc Bài 9a–13a; tutor cần chẩn đoán trước khi hướng dẫn tiếp.","Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-061,TIN9-CD04B,Làm quen với phần mềm làm video,Bài 9b–13b,T1,Giải thích thích ứng,Biết,F05,F01,SWT08,SWT01,Ưu tiên câu hỏi về thao tác công cụ hoặc quy trình tạo sản phẩm video.,core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Biết trong cụm chủ đề “Làm quen với phần mềm làm video”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9b–13b; tutor cần giải thích vừa sức ở mức Biết.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-062,TIN9-CD04B,Làm quen với phần mềm làm video,Bài 9b–13b,T1,Giải thích thích ứng,Hiểu,F05,F01,SWT08,SWT01,Ưu tiên câu hỏi về thao tác công cụ hoặc quy trình tạo sản phẩm video.,core,cao,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Hiểu trong cụm chủ đề “Làm quen với phần mềm làm video”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9b–13b; tutor cần giải thích vừa sức ở mức Hiểu.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-063,TIN9-CD04B,Làm quen với phần mềm làm video,Bài 9b–13b,T1,Giải thích thích ứng,Vận dụng,F05,F01,SWT08,SWT01,Ưu tiên câu hỏi về thao tác công cụ hoặc quy trình tạo sản phẩm video.,recommended,trung bình,"Ô này kiểm tra khả năng “Giải thích thích ứng” ở mức Vận dụng trong cụm chủ đề “Làm quen với phần mềm làm video”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Tạo tình huống học sinh hỏi hoặc chưa hiểu một khái niệm/thao tác thuộc Bài 9b–13b; tutor cần giải thích vừa sức ở mức Vận dụng.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-064,TIN9-CD04B,Làm quen với phần mềm làm video,Bài 9b–13b,T2,Phản hồi bài làm hoặc lập luận của học sinh,Biết,F04,F05,SWT08,SWT04,"Ưu tiên sản phẩm/thao tác dựng video có lỗi, thiếu bước hoặc cần nhận xét.",recommended,trung bình,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Biết trong cụm chủ đề “Làm quen với phần mềm làm video”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 9b–13b; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
P05-COV-065,TIN9-CD04B,Làm quen với phần mềm làm video,Bài 9b–13b,T2,Phản hồi bài làm hoặc lập luận của học sinh,Hiểu,F04,F05,SWT08,SWT04,"Ưu tiên sản phẩm/thao tác dựng video có lỗi, thiếu bước hoặc cần nhận xét.",core,cao,"Ô này kiểm tra khả năng “Phản hồi bài làm hoặc lập luận của học sinh” ở mức Hiểu trong cụm chủ đề “Làm quen với phần mềm làm video”, giúp tránh benchmark chỉ phủ kiến thức hoặc chỉ phủ một kiểu hành vi gia sư.",Cho học sinh đưa một câu trả lời/sản phẩm/lập luận thuộc Bài 9b–13b; tutor cần nhận xét đúng-sai-thiếu và hướng sửa.,"Tên chủ đề lấy từ OCR mục lục SGK Tin học 9, cần HNMU/UET rà soát trước khi chốt mã chính thức."
